text,id
You're really an adult now if you're not feeling well and the one who's gonna take care of you is not your mum anymore but yourself,981310195228844032
I'm still not feeling well but I'm getting there.😌,980328425368899585
not feeling well but not allowed to take some panadol!!! whyyyy 😣....... 🤧🤕🤒,979495904368459777
Bf remembered that I mentioned yesterday how I wanted white bread to make Nutella and marshmallow fluff sandwiches bc I’m sick at home and he bought some on the way back from the gym this morning without me asking 😍,981677900356177920
@nadinevoncohen ~cough~,981729876423073792
"@the_beccaeller @ClowerCottage @experiment801 @netflix That is true! All the other real estate shows (*cough* yes there's many more) I watch generally say, so I hadn't thought about it like that. Also it's a sign of how horrific housing $ in Aus are by the fact these houses seem relatively affordable (considering what you get for $)",981703238754816000
@DickBugs @abigbagofhugs it’s funny cause I’m the scheme of things that cough isn’t even that bad hahahaha,981674163487191040
My body hates me honestly. First I have the flu now I have bloody tonsillitis and Nowww my cough is starting to come back.,981517070788476928
People are coughing like it’s cool to cough in a confined train carriage and fuck me stop it I just got better. COVER YOUR DAMN MOUTH SYDNEY YOU GROSS. #Flu2018 #sydney #sydneytrains #sick,981500119240523777
*cough cough* https://t.co/d0R7HS38aT,981498690039762944
@KirralieS @RichardDiNatale @australian  And 'm sure there'd be no risk to this investment (cough!),981362824625635328
"Cough cough  #coalisdead  #auspol fired power stations caused surge in airborne mercury pollution, study finds  https://t.co/H8TB5mbELd",981282099104591872
@levic1213 Has someone been naming cough medicine in Australia? https://t.co/AurkTI75N3,981043284402319363
@ninibalIerini *cough cough* nations first pick did that https://t.co/3loHJIb9D5,980930517762588672
"Very excited to announce, with just 2 tickets left for Nocturnal Fever, the beautiful… https://t.co/b3rTDbmvkv",981712278826508289
I would definitely recommend adulthood glandular fever if you have an otherwise good immune system and plenty of sick leave to burn. I spent about 4 days proper sick and the other week off work playing Terraria. Also lost a couple kg. Will sell my contagious saliva for a price.,981500419842064386
@troygrant is there somethng wrong with the team at Mudgee hospital when they cannot diagnose a child rash or fever and have them sent 70 ks to Dubbo hospital ?? my granddaughter had this happen today and is still out there ! So I like an answer as is this Y 70 mill been spent,981484530350546944
"Q. What is the best part of a #CommonwealthGames’ boxer’s joke? A. The punch line.  The #GoldCoast is all a-buzz with #GC2018 fever this week, and @UNGERBOECKAPAC Conference fever next month! 8 weeks to go #2018USIAPAC Don't forget to register: https://t.co/uJKefU3OIJ https://t.co/PRfhBB6gVz",981434166494617600
@AgChatOZ A3 Not a lot of publicity about the diseases usually. There has been a lot about Q fever lately. I seem to remember their being a shortage of vaccine at one stage or maybe a lot of doctors weren’t aware of it.  Been shearing slaughtering sheep most of my life #agchatoz,981125704497610757
Love fever tree's tonic water https://t.co/WY4GBPRciX,981084353060003840
Managed first day back at work with just one panic attack that I mistook as glandular fever-induced exhaustion.,981054507621654528
@TheRealDisco the bullet club has disco fever,980954594590076928
Bonucci io rido e tu? 😃😀 @intagpaul  @Anna_1897 @ItsMichael_93 https://t.co/ioMaCisxoQ,980748667211546625
Le tre uova al 🐣🐣🐣#bimbominchia #forzajuvefinoallafine ⚪️⚫️⚪️⚫️⚪️🖤⚪️🖤 https://t.co/po0zR1pys3,980739907306967040
"@tangjinjjam Haha, comeback fever is setting in",980653629156737024
Buona pasqua e buona pasquetta il signore si è alzato ed e ritornato tra noi #juve❤️finoallafine https://t.co/6JgTlzHoos,980616243626483714
#happy Easter #keepfightingmichael https://t.co/uZzRI4Qfow,980550955803459584
New episode: High Grade Fever,980499235706564609
This is one of Ports best wins in ages. The fever from the team is just what you want to see. Port won’t blow it from here. Port will win,980371717406171136
@rejsbasnet Headache. Kick them,981728720623841280
"Argh I just keep shifting my pain around! The sling gave me an epic headache, so had to go. The headache &amp; shoulder kept waking me so extra pain meds at 7am meant I got 3hrs if ok sleep. Going to the olds to sit in the garden. #chronicillness #eds #spoonie",981697900626436096
@jlist @TempyLOL I would get a headache if I tried to think about this too much.,981499184476954624
Have you ever met the human version of a headache? Bc same,981488144951361536
@Farmgate138 OMG 😱 You guys are going to have a headache for a very long time by the looks of that letter!,981388589534760961
"Massive headache. #melbourne air is too clean for my body! (@ Coffee Gauge in Docklands, VIC) https://t.co/bhowntDlJO https://t.co/Z1UnGNnEHL",981365188736765962
Something smells like burning plastic. Giving me such a headache,981123699951587328
This WIL report is such a headache. 5000 words is too much 😒,981117583104516096
"@jsteffanoni @CharlesSturtUni Ironically, the stress of submitting the assignment on time lead me to have a headache and toothache when I went to bed.",980962414261714945
@sugarmanvw It's really tough with NOFA....he certainly deserves to be in the team...his work out of our end of the field is awesome and his defence is also strong...1 of the downsides to so much competition..a headache Ivan probably enjoys immensely!,980913129142984705
"It’s about my 6th day on Oratane... I have a horrible headache, feel faint, nauseous and fatigued. This is going to be an interesting few months 😪",980811410878824448
@wutube Wu you know when it's an Aussie it's an accident or coffee or headache tablet or dietary tablet - but if it's a rival - it's a cheat,980767603214794752
STOP DAILY HEADACHE &amp; MIGRAINE. #migrainesydney #sydneyneurologists #migraineclinics #sydney. Get expert help ---&gt; https://t.co/eAylY88nf5 https://t.co/VPWV35HcwR,980678856481779712
#migraine #migraines #headache #headaches #chronicmigraine #chronicheadache #chronicmigraines #chronicheadaches #migrainetreatment #headachetreatment,980678477635452929
#MigraineClinics #MigraineClinic #migraine #migraines #headache #headaches #chronicmigraine #chronicheadache #chronicmigraines #chronicheadaches,980677198444052481
